Interface Number,Interface Description,Business Object,Source Application,Source Application:SelBU,Target Application,Target Application:SelBU,AllocatedBU,MuleApps,Interface Owners,Technology Instance Id,Technology Instance Id:Instance Name,Technologies Used,EI XREF Table,Highest Environment,File Transfer,FT Interface#,Notes,Tracking MetaData Fields,Process Area,JCI Architect Approved,EI Interface Pattern,Dependent On Interfaces,Using InterfaceNumber,Tags,Other Interface Identifier,Batch or Real Time,Frequency,Criticality,WeekDay Outage,WeekEnd Outage,ApprovedOutage Window,SP Documentation Location Link,Item Type,Path
BI00002,"Create Update Activities, SRs, Debrief Data",incidents,OSVCBTSNA;#423,BSNA;#423,OFSCBTSNA;#417;#OracleACE;#228;#MobilityBTSNA;#414,BSNA;#417;#BSNA;#228;#BSNA;#414,BSNA,EA10065;#149;#I10068;#359;#SA10027;#111;#SA10056;#140;#SA10012;#96;#SA10026;#110,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to mq,,,,CI_I_073_Create Update Activities; CI_I_082_Create Update SRs; CI_I_129_Create Update Debrief Data; CI_I_128,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7BCCD6142C-9A87-4B07-9114-CB29659F26BA%7D&file=CI_I_073_Create%20Update%20Activity_Data_Mapping%20NEW.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00003,Activity statusing,activities/status,OFSCBTSNA;#417,BSNA;#417,MobilityBTSNA;#414,BSNA;#414,BSNA,EA10025;#109;#SA10027;#111,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,SD_I_064_Activity statusing,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B3F82ACD8-BE93-4FF9-847C-1B230983329D%7D&file=SD_I_064_JCI_Data_Mapping.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00004,Get Truck Inventory. Retrieve Truck inventory from ACE,truckPartsStock,OracleACE;#228,BSNA;#228,MobilityBTSNA;#414,BSNA;#414,BSNA,EA10025;#109;#SA10027;#111,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,WE_I_047_Get Truck Inventory,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B2FCFC16C-02A6-4146-9911-D7353DE5FF04%7D&file=WE_I_047_Get%20Truck%20Inventory_Data_Mapping.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00005,Create Sales Lead,salesLeads,SFDCBSNA;#434,BSNA;#434,MobilityBTSNA;#414,BSNA;#414,BSNA,EA10025;#109;#SA10057;#141,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,WE_I_052_Create Sales Lead,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B9E3AFB38-57C4-4593-BF2F-23E8A077B5FF%7D&file=WE_I_052_Create_Sales_Lead_Data_Mapping.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00006,Create Incident/Task,incidents,MobilityBTSNA;#414,BSNA;#414,OSVCBTSNA;#423;#idqbtsna;#405,BSNA;#423;#BSNA;#405,BSNA,PA10104;#348;#SA10056;#140,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,contactId,,TRUE,cloud services to cloud services,,,,WE_I_059_Create Incident/Task,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B9966DEC8-639D-49E5-AD50-932F7405E5D3%7D&file=WE_I_059_Create_Incident_Task_Data_Mapping_NEW%20v3.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00007,Route Status. Activate Deactivate route from Mobility and update into OFSC,routes,MobilityBTSNA;#414,BSNA;#414,OFSCBTSNA;#417,BSNA;#417,BSNA,EA10025;#109;#SA10027;#111,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,WE_I_063/064_Route Status,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7BECB9CF4A-C677-42C6-9A23-668CF39ED50B%7D&file=WE_I_063_Activate%20Route_Data_Mapping.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00008,"Book Field_Capacity, Retrieve matching resources",findMatchingResources,OFSCBTSNA;#417,BSNA;#417,OSVCBTSNA;#423,BSNA;#423,BSNA,EA10065;#149;#SA10027;#111,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,CI_I_071_Book Field_Capacity,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B61613895-EE12-41E7-9E2C-8037A4151F85%7D&file=CI_I_71%20Book%20Field%20Capacity%20Data%20Mapping%20NEW.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00009,Update Internal Activity,activities,OFSCBTSNA;#417,BSNA;#417,MobilityBTSNA;#414,BSNA;#414,BSNA,EA10025;#109;#SA10027;#111,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,WE_I_84_Update Internal Activity,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B219CBC0D-6F2B-4C44-A679-1469938C110C%7D&file=WE_I_084_Update%20Internal%20Activity_Data_Mapping.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00010,"Lookup Contracts, Warranties",contracts,OracleACE;#228,BSNA;#228,OSVCBTSNA;#423,BSNA;#423,BSNA,EA10065;#149;#SA10012;#96,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to webservice,,,,CI_I_088_Lookup Contracts<br>CI_I_090_Lookup Warranties,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B1CA5490E-1F30-4502-8426-CC5E7D0223E1%7D&file=CI_I_85%20-%2088-%2090%20Data%20Mapping_updated.xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
BI00011,Create Update Data on Activity Debrief. Mobility pushes the debrief and that gets ingested into OSVC and OFSC,debrief,MobilityBTSNA;#414,BSNA;#414,OSVCBTSNA;#423;#OFSCBTSNA;#417,BSNA;#423;#BSNA;#417,BSNA,EA10025;#109;#SA10056;#140;#SA10027;#111,,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MulesoftCH_US_DEV;#826;#MulesoftCH_US_QA;#827;#MulesoftCH_US_PROD;#828,MuleSoft Cloudhub;#22,JCI.EI_STATIC_XREF;#25,PROD,FALSE,,,,,TRUE,cloud services to cloud services,,,,WE_I_034_Create Update Data on Activity Debrief,Real Time,_TBD,Low,0,1,,https://my.jci.com/:x:/r/sites/EIArchitecture/_layouts/15/Doc.aspx?sourcedoc=%7B47BC886F-F3F2-4D75-9E7A-D7151BE9CE48%7D&file=WE_I_034_Create_Update_Debrief_Data_Data_Mapping%20(3).xlsx&action=default&mobileredirect=true,Item,sites/EIArchitecture/Lists/EI Interface Repository
